CSD Number,Province Code,Indicator,Indicator Sort,Children Count,Percent,Value Status
1001379,10,Lone Parent,5,40,50.0,Reportable
1001385,10,Below LIM,1,0,0.0,Reportable
1001385,10,Indigenous Identity,2,0,0.0,Reportable
1001385,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001385,10,Immigrant Parent(s),4,0,0.0,Reportable
1001385,10,Lone Parent,5,20,26.666666666666668,Reportable
1001391,10,Below LIM,1,,,Suppressed
1001391,10,Indigenous Identity,2,,,Suppressed
1001391,10,Parent(s) Less Than High School,3,,,Suppressed
1001391,10,Immigrant Parent(s),4,,,Suppressed
1001391,10,Lone Parent,5,,,Suppressed
1001394,10,Below LIM,1,,,Suppressed
1001394,10,Indigenous Identity,2,0,0.0,Reportable
1001394,10,Parent(s) Less Than High School,3,0,,Reportable
1001394,10,Immigrant Parent(s),4,0,,Reportable
1001394,10,Lone Parent,5,0,,Reportable
1001396,10,Below LIM,1,35,23.3,Reportable
1001396,10,Indigenous Identity,2,0,0.0,Reportable
1001396,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001396,10,Immigrant Parent(s),4,0,0.0,Reportable
1001396,10,Lone Parent,5,25,16.666666666666664,Reportable
1001405,10,Below LIM,1,,,Suppressed
1001405,10,Indigenous Identity,2,,,Suppressed
1001405,10,Parent(s) Less Than High School,3,,,Suppressed
1001405,10,Immigrant Parent(s),4,,,Suppressed
1001405,10,Lone Parent,5,,,Suppressed
1001409,10,Below LIM,1,40,14.8,Reportable
1001409,10,Indigenous Identity,2,0,0.0,Reportable
1001409,10,Parent(s) Less Than High School,3,15,5.660377358490567,Reportable
1001409,10,Immigrant Parent(s),4,0,0.0,Reportable
1001409,10,Lone Parent,5,70,26.41509433962264,Reportable
1001415,10,Below LIM,1,0,0.0,Reportable
1001415,10,Indigenous Identity,2,15,50.0,Reportable
1001415,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001415,10,Immigrant Parent(s),4,0,0.0,Reportable
1001415,10,Lone Parent,5,0,0.0,Reportable
1001421,10,Below LIM,1,0,0.0,Reportable
1001421,10,Indigenous Identity,2,0,0.0,Reportable
1001421,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001421,10,Immigrant Parent(s),4,0,0.0,Reportable
1001421,10,Lone Parent,5,35,77.77777777777779,Reportable
1001426,10,Below LIM,1,0,0.0,Reportable
1001426,10,Indigenous Identity,2,0,0.0,Reportable
1001426,10,Parent(s) Less Than High School,3,0,,Reportable
1001426,10,Immigrant Parent(s),4,0,,Reportable
1001426,10,Lone Parent,5,0,,Reportable
1001429,10,Below LIM,1,0,0.0,Reportable
1001429,10,Indigenous Identity,2,10,18.2,Reportable
1001429,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001429,10,Immigrant Parent(s),4,0,0.0,Reportable
1001429,10,Lone Parent,5,15,25.0,Reportable
1001434,10,Below LIM,1,0,0.0,Reportable
1001434,10,Indigenous Identity,2,0,0.0,Reportable
1001434,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001434,10,Immigrant Parent(s),4,0,0.0,Reportable
1001434,10,Lone Parent,5,10,25.0,Reportable
1001437,10,Below LIM,1,0,0.0,Reportable
1001437,10,Indigenous Identity,2,0,0.0,Reportable
1001437,10,Parent(s) Less Than High School,3,0,,Reportable
1001437,10,Immigrant Parent(s),4,0,,Reportable
1001437,10,Lone Parent,5,0,,Reportable
1001441,10,Below LIM,1,0,0.0,Reportable
1001441,10,Indigenous Identity,2,0,0.0,Reportable
1001441,10,Parent(s) Less Than High School,3,0,,Reportable
1001441,10,Immigrant Parent(s),4,0,,Reportable
1001441,10,Lone Parent,5,0,,Reportable
1001446,10,Below LIM,1,0,0.0,Reportable
1001446,10,Indigenous Identity,2,0,0.0,Reportable
1001446,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001446,10,Immigrant Parent(s),4,0,0.0,Reportable
1001446,10,Lone Parent,5,0,0.0,Reportable
1001452,10,Below LIM,1,0,0.0,Reportable
1001452,10,Indigenous Identity,2,0,0.0,Reportable
1001452,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001452,10,Immigrant Parent(s),4,0,0.0,Reportable
1001452,10,Lone Parent,5,0,0.0,Reportable
1001456,10,Below LIM,1,0,0.0,Reportable
1001456,10,Indigenous Identity,2,0,0.0,Reportable
1001456,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001456,10,Immigrant Parent(s),4,0,0.0,Reportable
1001456,10,Lone Parent,5,10,40.0,Reportable
1001461,10,Below LIM,1,0,0.0,Reportable
1001461,10,Indigenous Identity,2,0,0.0,Reportable
1001461,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001461,10,Immigrant Parent(s),4,0,0.0,Reportable
1001461,10,Lone Parent,5,0,0.0,Reportable
1001464,10,Below LIM,1,0,0.0,Reportable
1001464,10,Indigenous Identity,2,0,0.0,Reportable
1001464,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001464,10,Immigrant Parent(s),4,0,0.0,Reportable
1001464,10,Lone Parent,5,0,0.0,Reportable
1001469,10,Below LIM,1,0,0.0,Reportable
1001469,10,Indigenous Identity,2,0,0.0,Reportable
1001469,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001469,10,Immigrant Parent(s),4,0,0.0,Reportable
1001469,10,Lone Parent,5,15,33.33333333333333,Reportable
1001472,10,Below LIM,1,0,0.0,Reportable
1001472,10,Indigenous Identity,2,0,0.0,Reportable
1001472,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001472,10,Immigrant Parent(s),4,0,0.0,Reportable
1001472,10,Lone Parent,5,20,17.391304347826086,Reportable
1001485,10,Below LIM,1,115,7.8,Reportable
1001485,10,Indigenous Identity,2,50,3.4,Reportable
1001485,10,Parent(s) Less Than High School,3,20,1.3468013468013467,Reportable
1001485,10,Immigrant Parent(s),4,75,5.05050505050505,Reportable
1001485,10,Lone Parent,5,190,12.794612794612794,Reportable
