Record Type,Province Code,Province Name,Is Canada,Population in Census Families,Children Aged 0 to 5,Population Status,Children Status,CSD Number,CSD Name,MIZ Identifier,MIZ Label,MIZ Analysis Label,Geography Type,Child Population Band,Child Population Band Sort,Public Denominator Flag,MIZ Status,Province Status,Indicator,Indicator Short Name,Indicator Description,Indicator Sort,Children Count,Percent,Value Status,Note Number,Note
CSD,46,Manitoba,,1870,160,Reportable,Reportable,4604034,Pembina,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1515,175,Reportable,Reportable,4604040,Louise,6,Weak MIZ,Weak MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,870,50,Reportable,Reportable,4604052,Cartwright-Roblin,7,No MIZ,No MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,690,65,Reportable,Reportable,4604057,Argyle,6,Weak MIZ,Weak MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2235,130,Reportable,Reportable,4604064,Lorne,6,Weak MIZ,Weak MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,,,Missing,Missing,4604068,Swan Lake 7,6,Weak MIZ,Weak MIZ,MIZ,Unknown / suppressed,5,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2745,260,Reportable,Reportable,4605025,Killarney - Turtle Mountain,6,Weak MIZ,Weak MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1875,190,Reportable,Reportable,4605032,Boissevain-Morton,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1220,55,Reportable,Reportable,4605038,Deloraine-Winchester,6,Weak MIZ,Weak MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,575,30,Reportable,Reportable,4605044,Brenda-Waskada,7,No MIZ,No MIZ,MIZ,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,800,70,Reportable,Reportable,4605052,Melita,6,Weak MIZ,Weak MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1000,75,Reportable,Reportable,4605056,Two Borders,7,No MIZ,No MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1110,105,Reportable,Reportable,4605062,Grassland,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1195,50,Reportable,Reportable,4605071,Prairie Lakes,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1080,45,Reportable,Reportable,4606016,Sifton,5,Moderate MIZ,Moderate MIZ,MIZ,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1185,145,Reportable,Reportable,4606023,Pipestone,6,Weak MIZ,Weak MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,255,40,Reportable,Reportable,4606029,Canupawakpa Dakota First Nation (Oak Lake 59),6,Weak MIZ,Weak MIZ,MIZ,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2290,280,Reportable,Reportable,4606031,Wallace-Woodworth,6,Weak MIZ,Weak MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2370,240,Reportable,Reportable,4606034,Virden,6,Weak MIZ,Weak MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,840,110,Reportable,Reportable,4606040,Sioux Valley Dakota Nation,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,815,80,Reportable,Reportable,4607039,Glenboro-South Cypress,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,,,Suppressed,Suppressed,4607040,Swan Lake 7A,7,No MIZ,No MIZ,MIZ,Unknown / suppressed,5,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1415,145,Reportable,Reportable,4607046,Oakland-Wawanesa,4,Strong MIZ,Strong MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1910,180,Reportable,Reportable,4607052,Souris-Glenwood,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1515,110,Reportable,Reportable,4607057,Whitehead,3,Inside non-tracted CA,Inside non-tracted CA,CA,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,3890,375,Reportable,Reportable,4607060,Cornwallis,4,Strong MIZ,Strong MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,38975,3555,Reportable,Reportable,4607062,Brandon,3,Inside non-tracted CA,Inside non-tracted CA,CA,"1,000+ children",1,"1,000+ children",Reportable,Reportable,,,,,,,,,
